hour,entity_type,entity_id,event,detail
108,TRUCK,0,IDLE,"manifest_remaining=0 cargo=0"
108,TRUCK,1,IDLE,"manifest_remaining=0 cargo=0"
108,TRUCK,2,MOVING,"pos=(50.38,52.37) heading to WH-2"
109,WAREHOUSE,0,QUEUE,"length=0 trucks=[]"
109,WAREHOUSE,0,DOCK_STATUS,"dock=0 FREE dock=1 FREE dock=2 FREE"
109,WAREHOUSE,1,QUEUE,"length=0 trucks=[]"
109,WAREHOUSE,1,DOCK_STATUS,"dock=0 FREE dock=1 FREE dock=2 FREE"
109,WAREHOUSE,2,QUEUE,"length=0 trucks=[]"
109,WAREHOUSE,2,DOCK_STATUS,"dock=0 FREE"
109,WAREHOUSE,3,QUEUE,"length=0 trucks=[]"
109,WAREHOUSE,3,DOCK_STATUS,"dock=0 FREE dock=1 FREE"
109,WAREHOUSE,4,QUEUE,"length=0 trucks=[]"
109,WAREHOUSE,4,DOCK_STATUS,"dock=0 FREE dock=1 FREE"
109,TRUCK,0,IDLE,"manifest_remaining=0 cargo=0"
109,TRUCK,1,IDLE,"manifest_remaining=0 cargo=0"
109,TRUCK,2,MOVING,"pos=(49.43,50.61) heading to WH-2"
110,WAREHOUSE,0,QUEUE,"length=0 trucks=[]"
110,WAREHOUSE,0,DOCK_STATUS,"dock=0 FREE dock=1 FREE dock=2 FREE"
110,WAREHOUSE,1,QUEUE,"length=0 trucks=[]"
110,WAREHOUSE,1,DOCK_STATUS,"dock=0 FREE dock=1 FREE dock=2 FREE"
110,WAREHOUSE,2,QUEUE,"length=0 trucks=[]"
110,WAREHOUSE,2,DOCK_STATUS,"dock=0 FREE"
110,WAREHOUSE,3,QUEUE,"length=0 trucks=[]"
110,WAREHOUSE,3,DOCK_STATUS,"dock=0 FREE dock=1 FREE"
110,WAREHOUSE,4,QUEUE,"length=0 trucks=[]"
110,WAREHOUSE,4,DOCK_STATUS,"dock=0 FREE dock=1 FREE"
110,TRUCK,0,IDLE,"manifest_remaining=0 cargo=0"
110,TRUCK,1,IDLE,"manifest_remaining=0 cargo=0"
110,TRUCK,2,MOVING,"pos=(48.47,48.86) heading to WH-2"
111,WAREHOUSE,0,QUEUE,"length=0 trucks=[]"
