hour,entity_type,entity_id,event,detail
6,WAREHOUSE,4,QUEUE,"length=0 trucks=[]"
6,WAREHOUSE,4,DOCK_STATUS,"dock=0 FREE dock=1 FREE"
6,TRUCK,0,MOVING,"pos=(70.97,27.23) heading to WH-0"
6,TRUCK,1,MOVING,"pos=(34.50,67.84) heading to WH-0"
6,TRUCK,2,MOVING,"pos=(25.90,27.50) heading to WH-2"
7,WAREHOUSE,0,QUEUE,"length=0 trucks=[]"
7,WAREHOUSE,0,DOCK_STATUS,"dock=0 FREE dock=1 FREE dock=2 FREE"
7,WAREHOUSE,1,QUEUE,"length=0 trucks=[]"
7,WAREHOUSE,1,DOCK_STATUS,"dock=0 FREE dock=1 FREE dock=2 FREE"
7,WAREHOUSE,2,QUEUE,"length=0 trucks=[]"
7,WAREHOUSE,2,DOCK_STATUS,"dock=0 FREE"
7,WAREHOUSE,3,QUEUE,"length=0 trucks=[]"
7,WAREHOUSE,3,DOCK_STATUS,"dock=0 FREE dock=1 FREE"
7,WAREHOUSE,4,QUEUE,"length=0 trucks=[]"
7,WAREHOUSE,4,DOCK_STATUS,"dock=0 FREE dock=1 FREE"
7,TRUCK,0,MOVING,"pos=(69.21,29.65) heading to WH-0"
7,TRUCK,1,MOVING,"pos=(37.20,64.89) heading to WH-0"
7,TRUCK,2,MOVING,"pos=(27.90,27.51) heading to WH-2"
8,WAREHOUSE,0,QUEUE,"length=0 trucks=[]"
8,WAREHOUSE,0,DOCK_STATUS,"dock=0 FREE dock=1 FREE dock=2 FREE"
8,WAREHOUSE,1,QUEUE,"length=0 trucks=[]"
8,WAREHOUSE,1,DOCK_STATUS,"dock=0 FREE dock=1 FREE dock=2 FREE"
8,WAREHOUSE,2,QUEUE,"length=0 trucks=[]"
8,WAREHOUSE,2,DOCK_STATUS,"dock=0 FREE"
8,WAREHOUSE,3,QUEUE,"length=0 trucks=[]"
8,WAREHOUSE,3,DOCK_STATUS,"dock=0 FREE dock=1 FREE"
8,WAREHOUSE,4,QUEUE,"length=0 trucks=[]"
